PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Universidad de ciencias y artes de chiapas;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Masculino;;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;586790139;bc37f1de-b9d9-45a9-9861-4065a1ead572;2025-10-20T17:55:20;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;37
;Universidad de Ciencias y Artes de Chiapas;México;Otro;Licenciatura en Turismo Sustentable;8vo Semestre;20;Femenino;;Intermedio;Básico;Ninguno;Básico;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;;De acuerdo;Neutral;De acuerdo;Neutral;En desacuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Neutral;Neutral;;De acuerdo;Neutral;En desacuerdo;De acuerdo;Neutral;Neutral;Neutral;586797062;10d81c61-52ee-47e8-93b4-6c12ec9b6989;2025-10-20T18:06:40;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;38
;Ubicación Sub sede Palenque;México;Ciencias Sociales y Humanidades;Formación de recursos humanos en empresa turísticas sustentables;8vo Semestre;20;Masculino;;Básico;Básico;Básico;Intermedio;Básico;Básico;Básico;Básico;Básico;;Neutral;Totalmente en desacuerdo;Neutral;En desacuerdo;Neutral;;Sin importancia;Sin importancia;Poca importancia;Sin importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;Neutral;586801201;f5ae5336-6a48-481d-9791-4f43aa2f737c;2025-10-20T18:13:59;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;39
;Unicach;México;Ciencias Económicas y Administrativas;Marketing digital;8vo Semestre;34;Femenino;;Básico;Básico;Básico;Básico;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;En desacuerdo;586849547;c46252ee-6fa2-41bf-adce-41b6e7473164;2025-10-20T19:52:36;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;40
;Unicach;México;Otro;Marketing digital;8vo Semestre;49;Masculino;;Intermedio;Avanzado;Básico;Básico;Intermedio;Intermedio;Intermedio;Básico;Básico;;Neutral;De acuerdo;Neutral;Neutral;De acuerdo;;Neutral;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;Neutral;Neutral;;En desacuerdo;Neutral;Totalmente en desacuerdo;Neutral;Neutral;De acuerdo;En desacuerdo;586892295;b28bdb6b-2edb-4945-8560-4e30c8916cdb;2025-10-20T21:49:54;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;41
;Universidad de ciencias y artes de Chiapas;México;Ciencias Sociales y Humanidades;Marketing Digital;8vo Semestre;22;Masculino;;Intermedio;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Experto;Avanzado;;De acuerdo;De acuerdo;Neutral;De acuerdo;De acuerdo;;Neutral;Importante;Muy importante;Importante;Neutral;Neutral;Neutral;Importante;Importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;En desacuerdo;De acuerdo;586893852;e9d86c36-c92c-4269-a3ab-7b5cc13177f3;2025-10-20T21:55:30;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;42
;UNICACH;México;Otro;Marketing Digital;8vo Semestre;22;Masculino;;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;586895381;f420bd87-72f7-4e40-b9c3-084821ebb64c;2025-10-20T22:01:51;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;43
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;9no Semestre;22;Masculino;;Avanzado;Intermedio;Intermedio;Experto;Experto;Experto;Experto;Experto;Intermedio;;De acuerdo;Totalmente de acuerdo;Neutral;En desacuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;En desacuerdo;Totalmente de acuerdo;En desacuerdo;En desacuerdo;Totalmente de acuerdo;Neutral;587552461;0bc7d3ed-984d-4d9e-8323-08413b3bdd76;2025-10-21T16:05:14;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;44
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Ciencias jurídicas;9no Semestre;26;Femenino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Sin importancia;Sin importancia;Neutral;Importante;Neutral;Neutral;Sin importancia;Sin importancia;Neutral;;Totalmente en desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente en desacuerdo;587555138;86d7b1af-ed78-4bd8-b3fb-006d3cdcbaa7;2025-10-21T16:08:28;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;45
;IUE;Colombia;Ciencias Sociales y Humanidades;DERECHO;9no Semestre;43;Femenino;;Avanzado;Avanzado;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;;De acuerdo;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;Muy importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;587555420;d303df93-3dd8-41fd-b851-fc5b4e0d477a;2025-10-21T16:08:50;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;46
;Institución universitaria de Envigado;Colombia;Otro;Derecho;9no Semestre;28;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Neutral;Importante;Muy importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;587558005;2757cb62-67f4-4df3-a8cd-9e41b26e5835;2025-10-21T16:12:11;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;47
;Institución universitaria Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;45;Masculino;;Intermedio;Intermedio;Intermedio;Básico;Avanzado;Intermedio;Avanzado;Intermedio;Avanzado;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Muy importante;Importante;Importante;Importante;Muy importante;Importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Neutral;587562345;e53a25f1-b86e-464c-97af-64309b18ca97;2025-10-21T16:18:02;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;48
;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO;Colombia;Otro;DERECHO;9no Semestre;38;Femenino;;Intermedio;Básico;Ninguno;Básico;Básico;Básico;Avanzado;Avanzado;Intermedio;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Importante;Neutral;Importante;Importante;Neutral;Neutral;Neutral;Neutral;Muy importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;587566310;ed327a9c-7952-4299-969a-b5aa47bb345f;2025-10-21T16:23:10;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;49
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;10mo Semestre o superior;21;Femenino;;Ninguno;Ninguno;Ninguno;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Totalmente en desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;;Neutral;Neutral;Neutral;Neutral;De acuerdo;Neutral;Neutral;587566597;fdd193f1-c4bc-4af6-916a-63e3329ff5f0;2025-10-21T16:23:36;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;50
;Instirucion universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;59;Femenino;;Intermedio;Básico;Básico;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;Neutral;Totalmente de acuerdo;Neutral;Neutral;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;En desacuerdo;587571189;a0db06ea-ba6a-425a-95cd-ec1fc172c83a;2025-10-21T16:29:27;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;51
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;21;Femenino;;Ninguno;Intermedio;Ninguno;Intermedio;Experto;Experto;Experto;Experto;Experto;;En desacuerdo;Neutral;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;;Poca importancia;Poca importancia;Muy importante;Neutral;Neutral;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;587577421;af4bc28f-890b-43e2-8f97-af73cf5bbfc3;2025-10-21T16:37:39;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;52
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;9no Semestre;30;Femenino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;;Muy importante;Muy importante;Importante;Importante;Neutral;Neutral;Importante;Importante;Muy importante;;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;587584049;dcb39cf1-2d60-47d5-be01-764977d63948;2025-10-21T16:47:04;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;53
;Institución universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;22;Masculino;;Básico;Ninguno;Ninguno;Intermedio;Avanzado;Intermedio;Avanzado;Intermedio;Intermedio;;Neutral;En desacuerdo;Totalmente en desacuerdo;Neutral;Neutral;;Importante;Poca importancia;Importante;Importante;Sin importancia;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;De acuerdo;En desacuerdo;587601975;aac001fd-4d1b-4224-8abb-ed29cfa85be2;2025-10-21T17:13:29;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;54
;IUE;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;27;Masculino;;Intermedio;Intermedio;Ninguno;Avanzado;Avanzado;Avanzado;Avanzado;Avanzado;Experto;;Neutral;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Muy importante;Importante;Importante;Muy importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;Totalmente de acuerdo;Neutral;587616560;1b0a1aa3-8f56-45c8-b381-e0dfd3e56649;2025-10-21T17:33:56;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;55
;Institución universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Ciencias políticas y jurídicas;9no Semestre;21;Femenino;;Intermedio;Ninguno;Ninguno;Intermedio;Experto;Avanzado;Experto;Experto;Intermedio;;Neutral;Neutral;En desacuerdo;Totalmente en desacuerdo;Neutral;;Poca importancia;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Neutral;En desacuerdo;En desacuerdo;587619890;85d616b2-18af-41e7-abd0-a30b018177ce;2025-10-21T17:38:14;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;56
;Iue;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;23;Femenino;;Intermedio;Ninguno;Ninguno;Intermedio;Avanzado;Avanzado;Avanzado;Básico;Avanzado;;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;En desacuerdo;;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;Neutral;587622050;3d40bcd1-7450-40e4-8261-2f5c9f4dfc77;2025-10-21T17:42:11;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;57
;Unicach;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Femenino;;Intermedio;Básico;Básico;Básico;Básico;Básico;Básico;Básico;Básico;;En desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;Poca importancia;;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;587622402;bafd2560-f0b3-4901-ab61-3d9e8a6ee3aa;2025-10-21T17:42:49;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;58
;Unicach;México;Ciencias Económicas y Administrativas;Licenciatura en Turismo sustentable;8vo Semestre;20;Femenino;;Básico;Intermedio;Intermedio;Intermedio;Básico;Intermedio;Básico;Intermedio;Intermedio;;De acuerdo;Neutral;Neutral;Totalmente de acuerdo;De acuerdo;;Neutral;Neutral;Neutral;Importante;Importante;Neutral;Neutral;Neutral;Neutral;;Neutral;De acuerdo;Neutral;Totalmente en desacuerdo;Neutral;Neutral;Neutral;587623352;b39fa5d4-8546-4537-8c00-cdb9442edab6;2025-10-21T17:44:45;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;59
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Masculino;;Ninguno;Ninguno;Ninguno;Básico;Básico;Básico;Intermedio;Intermedio;Básico;;Neutral;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Neutral;;Poca importancia;Neutral;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;De acuerdo;De acuerdo;Totalmente en desacuerdo;587623618;b8fcf127-5ce2-4cf2-af5b-2d89861d8765;2025-10-21T17:45:13;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;60
;Unicach;México;Ciencias Económicas y Administrativas;Licenciatura en Turismo Sustentable;8vo Semestre;21;Masculino;;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Intermedio;Básico;Avanzado;;De acuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Neutral;;Neutral;Poca importancia;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;En desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;587623633;d2309f18-2c47-4932-a6b0-9c65bf6654d6;2025-10-21T17:45:14;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;61
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Femenino;;Básico;Ninguno;Ninguno;Avanzado;Básico;Básico;Básico;Básico;Básico;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Poca importancia;Neutral;Importante;Importante;Neutral;Neutral;Importante;;Neutral;De acuerdo;En desacuerdo;Totalmente en desacuerdo;De acuerdo;Neutral;De acuerdo;587623662;418b76ab-4b3d-4c21-871d-725624d2a2df;2025-10-21T17:45:16;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;62
;Unicach;México;Ciencias Económicas y Administrativas;Turismo Sustentable;8vo Semestre;19;Femenino;;Intermedio;Ninguno;Básico;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;;Neutral;Neutral;De acuerdo;Neutral;De acuerdo;;Neutral;Neutral;Neutral;Importante;Neutral;Neutral;Neutral;Neutral;Importante;;De acuerdo;Neutral;En desacuerdo;Neutral;Neutral;Neutral;Neutral;587623798;ffe1026e-eb2d-47c5-ac40-e39d63c7b260;2025-10-21T17:45:33;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;63
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Femenino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Básico;Avanzado;Intermedio;Avanzado;;De acuerdo;Neutral;Neutral;Neutral;Totalmente de acuerdo;;Neutral;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;Neutral;Neutral;Totalmente de acuerdo;Neutral;587623971;469d860d-5a35-4024-be2f-c54fc79c5718;2025-10-21T17:45:51;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;64
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Masculino;;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Neutral;Neutral;Neutral;Importante;Importante;Importante;Neutral;Neutral;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;587624112;c05f0da2-3353-431e-b132-83f93aa2bdfa;2025-10-21T17:46:05;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;65
;Unicach;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;20;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Muy importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;Neutral;De acuerdo;Neutral;Neutral;Neutral;Neutral;De acuerdo;587624156;8a510846-354c-44a6-8503-a1c345281291;2025-10-21T17:46:08;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;66
;UNICACH;México;Ciencias Económicas y Administrativas;Licenciatura en Turismo Sustentable;8vo Semestre;20;Femenino;;Avanzado;Ninguno;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Experto;Experto;;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;;Importante;Importante;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Importante;;De acuerdo;Neutral;En desacuerdo;Neutral;De acuerdo;Neutral;Neutral;587624314;e24f0545-b348-4fbe-b27b-dc7b7c5b4512;2025-10-21T17:46:16;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;67
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;21;Femenino;;Intermedio;Básico;Avanzado;Experto;Intermedio;Avanzado;Avanzado;Intermedio;Avanzado;;De acuerdo;De acuerdo;De acuerdo;Neutral;Neutral;;Neutral;Neutral;Neutral;Importante;Importante;Importante;Importante;Importante;Muy importante;;Neutral;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;587624589;a6cf98f6-fa5a-4323-ad18-4f9be2d59068;2025-10-21T17:46:37;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;68
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo Sustentable;8vo Semestre;20;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;587625153;7f451dc4-d056-4368-a834-38bd6cb8a01d;2025-10-21T17:47:30;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;69
;UNICACH;México;Ciencias Económicas y Administrativas;TURISMO SUSTENTABLE;8vo Semestre;20;Femenino;;Intermedio;Básico;Intermedio;Intermedio;Básico;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;De acuerdo;De acuerdo;Neutral;De acuerdo;;Muy importante;Neutral;Neutral;Importante;Importante;Neutral;Neutral;Poca importancia;Importante;;De acuerdo;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;587625173;8e864239-750b-43b8-9ca2-08ad94656a4b;2025-10-21T17:47:32;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;70
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo sustentable;8vo Semestre;25;Femenino;;Intermedio;Básico;Básico;Avanzado;Básico;Intermedio;Intermedio;Intermedio;Intermedio;;De acuerdo;Neutral;De acuerdo;Neutral;Neutral;;Importante;Neutral;Neutral;Importante;Importante;Importante;Neutral;Neutral;Importante;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;Neutral;De acuerdo;587625704;2cb28d6d-8e48-49b3-8ed4-3ae195b9bc84;2025-10-21T17:48:28;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;71
;IUE;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;33;Femenino;;Intermedio;Intermedio;Ninguno;Intermedio;Avanzado;Experto;Experto;Avanzado;Avanzado;;Totalmente en desacuerdo;Neutral;Totalmente en desacuerdo;Neutral;Totalmente en desacuerdo;;Muy importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;Neutral;De acuerdo;De acuerdo;587627016;64c20d00-18ef-4539-aaf6-089fce57a9b3;2025-10-21T17:50:42;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;72
;UNICACH;México;Ciencias Económicas y Administrativas;Turismo Sustentable;8vo Semestre;20;Femenino;;Básico;Básico;Intermedio;Intermedio;Básico;Básico;Básico;Básico;Básico;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;587628070;0764b522-2020-416b-9656-83a916e0cd3a;2025-10-21T17:52:00;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;73
;Unicach;México;Ciencias Económicas y Administrativas;turismo sustentable;8vo Semestre;21;Femenino;;Básico;Ninguno;Ninguno;Básico;Básico;Básico;Ninguno;Básico;Básico;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Importante;Importante;Importante;Poca importancia;Importante;Neutral;Importante;Neutral;Importante;;Neutral;Neutral;En desacuerdo;Neutral;Neutral;De acuerdo;Neutral;587628651;c193d95f-71e4-4f9a-8bb9-082ef1cb12d4;2025-10-21T17:52:31;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;74
